연도,행정구역,연앙인구수(천명),재정자립도(%),통계방식변경,제조업종사자수,상용월평균급여(원),문화예술활동(건),대학수(천명당),문화기반시설수(십만명당),전체산업종사자수(천명당),기업규모구조,지역내총생산(십억원)
2018,인천광역시,2922.9735,60.34,0.0,247361.0,3312814.0,1528.0,0.003421173678105532,3.5580206252297533,366.2209048422779,552.9258360802986,93031.135
2018,전라남도,1877.082,19.81,0.0,117989.0,3696074.0,1274.0,0.01012209376042176,10.974480603404647,390.9925085851337,401.3222671907893,79193.518
2018,전북특별자치도,1833.762,21.52,0.0,115285.0,3293434.0,1706.0,0.01145186779963812,8.616167201632491,378.8217882146102,398.6333539887342,53437.977
2018,제주특별자치도,656.6735,34.52,0.0,12081.0,2767497.0,868.0,0.00609130717167664,20.558161704408658,421.734697684618,149.07713390709966,22040.507
2018,충청남도,2107.2235,34.45,0.0,293530.0,3679557.0,1114.0,0.01138939462282952,7.877664614123751,440.51283596637944,391.00336230190067,122192.547
2018,충청북도,1586.5145,29.61,0.0,208750.0,3426880.0,882.0,0.011345625898786302,8.19406314912344,449.62652405635123,288.95092493190475,74435.481
2019,강원특별자치도,1528.6555,23.49,0.0,61976.0,3292836.0,881.0,0.01242922293479466,15.176735373012429,438.45523075670087,334.84604516320104,51349.811
2019,경기도,13043.732,60.54,0.0,1321095.0,3698529.0,3522.0,0.006133214021876561,4.346915438005013,406.53549152957146,2298.32085873869,504950.695
2019,경상남도,3348.258,33.43,0.0,412713.0,3580582.0,1667.0,0.0071679064158138356,6.600447157895241,426.32407657952285,672.6150732575661,118443.865
2019,경상북도,2653.9155,24.94,0.0,319306.0,3699749.0,1635.0,0.014318466431956858,7.950516887218149,433.33972012296545,546.4696380308806,113784.086
2019,광주광역시,1448.843,40.79,0.0,85858.0,3278027.0,902.0,0.012423706364319666,4.969482545727867,436.1245490367141,283.64832998563014,44387.597
2019,대구광역시,2431.14,45.88,0.0,174311.0,3093806.0,2062.0,0.005347285635545465,3.6608340120272795,398.1399672581587,529.8237236836396,62510.363
2019,대전광역시,1471.7695,43.85,0.0,63480.0,3601728.0,1001.0,0.01358908443203912,4.212616173932127,430.37853413866776,277.9599596885469,44901.333
2019,부산광역시,3390.1595,50.01,0.0,214649.0,3315194.0,1856.0,0.007079312934981377,3.6576450164070446,432.2607830103569,671.7171934448726,99530.641
2019,서울특별시,9578.9745,76.48,0.0,265273.0,4226102.0,12533.0,0.009186787165995691,4.280207656884357,545.6739654124771,1509.3701591158365,465940.68
2019,세종특별자치시,326.2445,62.12,0.0,20555.0,3637224.3,155.0,0.012260743092987008,6.7434087011428545,384.40494782287516,46.932278323100235,13373.529
2019,울산광역시,1145.705,53.67,0.0,177173.0,4353358.0,635.0,0.005236950174783213,4.014995134000463,465.3789588070228,187.0604554687192,75031.057
2019,인천광역시,2927.32,57.65,0.0,244352.0,3390920.0,1131.0,0.003416093901589167,3.9285079868275417,373.2062090922755,552.62746164281,95272.174
2019,전라남도,1863.279,19.07,0.0,122103.0,3731288.0,814.0,0.010197077302969657,11.91447979610139,415.5545143802941,389.5589974312083,79853.688
2019,전북특별자치도,1816.0005,20.42,0.0,117056.0,3381091.0,1114.0,0.011563873468096512,9.581495159279967,396.5042961166585,388.60108581185807,55083.789
2019,제주특별자치도,663.4885,33.01,0.0,12373.0,2889103.0,647.0,0.006028740513211607,20.799154770580046,431.513130973634,153.1772621863474,22267.086
2019,충청남도,2110.584,33.04,0.0,299436.0,3778330.0,749.0,0.011371260276776476,8.338924202969416,461.45711329186616,382.79396917276557,120090.285
2019,충청북도,1589.3545,28.74,0.0,212108.0,3482279.0,620.0,0.011325352525191831,8.556933019033828,466.5114044726963,286.21379610413084,76210.571
2020,강원특별자치도,1528.69,25.75,1.0,63725.0,3237625.0,530.0,0.011774787563207713,15.372639318632292,461.1680589262702,418.66299337714526,51573.015
2020,경기도,13220.207,58.62,1.0,1382830.0,3791519.0,1724.0,0.006051342463850982,4.3040173274140106,445.2918172915144,3268.966424880539,523161.883
2020,경상남도,3332.034,34.3,1.0,413775.0,3537600.0,702.0,0.007202807654423694,6.84266727170251,448.5428419998115,863.1884487862649,114653.976
2020,경상북도,2635.767,27.13,1.0,320531.0,3703867.0,654.0,0.014417055832325089,8.346716534503999,465.0748719442956,690.3426079714217,112072.885
2020,광주광역시,1444.467,41.07,1.0,88160.0,3272846.0,603.0,0.012461343872861061,5.122996925509547,462.063169321279,368.0990204214643,45603.43
2020,대구광역시,2410.2055,45.45,1.0,173382.0,3148054.0,1039.0,0.005393730949497875,3.817101902721573,419.2825051639787,675.041282462543,62597.844
2020,대전광역시,1459.1585,41.43,1.0,67835.0,3526414.0,461.0,0.013706530167901567,4.249024352049486,473.7415434992155,347.0373292273285,46659.399
2020,부산광역시,3366.5765,49.16,1.0,216869.0,3382497.0,1003.0,0.007128903798859167,3.891193323543962,456.6303483672508,880.3685550849194,98225.367
2020,서울특별시,9533.412,76.08,1.0,284356.0,4177937.0,5539.0,0.009230693061413898,4.499962867439276,615.6165284789957,1967.2197609641014,472863.219
2020,세종특별자치시,347.0695,59.31,1.0,20429.0,3755869.0,81.0,0.01152506918643096,6.626914782197801,402.6023606222961,70.7646123981078,14005.902
2020,울산광역시,1136.1135,51.56,1.0,175733.0,4165556.0,342.0,0.005281162489487186,4.136910616764963,478.31840744784745,245.12332825657313,67807.98
2020,인천광역시,2922.121,54.02,1.0,253606.0,3442684.0,467.0,0.0034221717718054797,4.106606126166575,413.4904064547635,740.3025444400213,95297.255
2020,전라남도,1847.811,23.25,1.0,125923.0,3660743.0,429.0,0.010282436894249467,12.338924273099359,458.75471030316413,497.47500107232344,81298.601
2020,전북특별자치도,1799.8985,24.86,1.0,120948.0,3326867.0,868.0,0.011667324574135707,10.00056392068775,441.6521264949107,511.6334473317743,56361.767
2020,제주특별자치도,667.2685,32.89,1.0,13851.0,2890236.0,272.0,0.005994588385335138,20.231735800506094,477.9050711969769,196.69387429717366,21668.785
2020,충청남도,2108.0875,34.38,1.0,314229.0,3747802.0,358.0,0.01138472667761656,8.348799563585477,505.10711723303706,501.2639722579615,122866.948
2020,충청북도,1590.372,30.07,1.0,224247.0,3512114.0,396.0,0.011318106707110033,8.677215142117694,508.0685525147575,376.4551044407427,75771.65
2021,강원특별자치도,1530.5365,24.52,1.0,64204.0,3353549.0,881.0,0.011760581992000845,15.746112555956687,466.70562903922905,429.3177273487701,55267.031
2021,경기도,13398.945,57.29,1.0,1373285.0,3938130.0,3522.0,0.0059706193286113195,4.410795029011613,447.3911938589195,3310.422780621462,563385.809
2021,경상남도,3311.2485,33.47,1.0,406186.0,3744367.0,1667.0,0.006946020511598571,6.885620333236845,456.60451035311905,859.8557199892059,118229.847
2021,경상북도,2619.8275,24.93,1.0,315862.0,3882801.0,1635.0,0.014504771783638428,8.435669905747611,471.14323366710215,697.5734267516207,118718.919
2021,광주광역시,1438.8675,40.85,1.0,87325.0,3458315.0,902.0,0.012509838466710797,5.142933591869995,469.9953261853506,363.7759579178749,47377.153
2021,대구광역시,2387.4495,44.65,1.0,169828.0,3313281.0,2062.0,0.005445141352728089,3.9791417577628345,420.76827174773746,664.9693401021141,66531.828
2021,대전광역시,1449.628,39.85,1.0,67179.0,3641586.0,1001.0,0.01379664300082504,4.345942545259888,474.91977252095023,345.5215164636281,48803.055
2021,부산광역시,3343.353,46.06,1.0,213028.0,3563487.0,1856.0,0.006879321447660477,4.157502961846983,461.9625866607564,868.5854906571948,106510.275
2021,서울특별시,9453.878,75.59,1.0,267489.0,4451538.0,12533.0,0.009308349441361522,4.601286371582117,610.4612308303534,1946.2185966895076,507460.707
2021,세종특별자치시,362.9215,58.76,1.0,21081.0,3845965.0,155.0,0.01102166722004621,6.613000332027726,421.5071303298372,72.30719911226744,15455.438
2021,울산광역시,1124.0405,49.57,1.0,177408.0,4330712.0,635.0,0.005337885956956177,3.9144497017678628,483.95409240147484,238.4688998647019,79762.196
2021,인천광역시,2921.8745,50.33,1.0,250357.0,3611547.0,1131.0,0.003422460478709815,4.312300203174367,418.7202427756565,737.7049601241737,104386.038
2021,전라남도,1833.0205,22.21,1.0,126107.0,3803956.0,814.0,0.010365405078666604,12.547595621543783,467.24954794559034,502.27549931697024,93701.706
2021,전북특별자치도,1786.3215,23.08,1.0,121697.0,3372498.0,1114.0,0.011196192846584447,10.076573561926002,442.8631688080785,522.4638585835347,59431.746
2021,제주특별자치도,670.9925,32.66,1.0,13819.0,3073063.0,647.0,0.005961318494618047,19.374285107508655,481.8474126014822,199.50506630510088,22757.094
2021,충청남도,2109.102,32.33,1.0,318380.0,4051811.0,749.0,0.011379250505665446,8.676678510569902,513.4147139398664,508.87322257499693,135882.266
2021,충청북도,1591.246,28.33,1.0,224302.0,3565888.0,620.0,0.011311890179142633,8.860980640328396,513.637740487643,378.79031205005606,80518.621
2022,강원특별자치도,1531.3105,24.69,1.0,64520.0,3467718.0,1020.0,0.011754637612685344,16.064671404003303,475.1204931984728,428.04931151442435,57723.494
2022,경기도,13503.1685,61.57,1.0,1387627.0,4027984.0,4274.0,0.00592453541552118,4.510052585065498,451.98376958711583,3351.781860184709,587328.57
2022,경상남도,3285.5225,32.78,1.0,412666.0,3894262.0,2244.0,0.007000408610806957,7.152591406694064,465.5783060380807,854.2043193212514,126917.22
2022,경상북도,2604.7445,25.58,1.0,325945.0,3954228.0,1467.0,0.014588762928571307,8.906823682706692,482.0384494525279,691.3888308671561,121411.361
2022,광주광역시,1431.2665,41.14,1.0,88914.0,3599321.0,1579.0,0.012576274229851674,5.449718832935726,471.78565277675403,362.22805630943157,49223.29
2022,대구광역시,2364.488,47.89,1.0,169297.0,3426293.0,2345.0,0.005498019021454116,4.0177831310626235,429.2629101945115,650.4708265465468,70327.334
2022,대전광역시,1442.9845,42.4,1.0,69175.0,3810834.0,1481.0,0.0138601627391008,4.227349635425744,482.0356698218172,341.6012762310048,50666.636
2022,부산광역시,3316.707,46.9,1.0,210883.0,3638757.0,2926.0,0.006934589036655937,4.311505357573039,468.7372143514637,854.5619757420252,113844.056
2022,서울특별시,9378.61,76.31,1.0,261088.0,4555258.0,15377.0,0.009383053565507041,4.78748983058257,617.939865289206,1909.6113817607948,528484.481
2022,세종특별자치시,376.991,56.9,1.0,22513.0,3983956.0,273.0,0.010610332872668049,6.896716367234232,419.55378245104,78.83613825805472,16055.841
2022,울산광역시,1112.6,48.74,1.0,176701.0,4532594.0,719.0,0.005392773683264426,4.1344598238360595,492.34226136976457,235.1697367556318,84886.776
2022,인천광역시,2939.962,52.77,1.0,252668.0,3698625.0,1349.0,0.0034014045079494223,4.319783725095767,425.2446120051892,745.7660627482097,113253.07
2022,전라남도,1820.069,24.24,1.0,128548.0,3866030.0,947.0,0.010439164669031779,13.406085153914496,473.80456455222304,499.0876358978938,96168.598
2022,전북특별자치도,1772.1505,23.76,1.0,123074.0,3526045.0,1612.0,0.011285723193374378,10.777865649672531,448.7615470582211,518.5270474384267,61285.279
2022,제주특별자치도,673.714,32.72,1.0,13561.0,3216325.0,991.0,0.005937237462780942,19.444452690607587,475.6009226467017,202.5521722369772,24282.333
2022,충청남도,2113.8575,33.05,1.0,315551.0,4009848.0,1017.0,0.011353650849217602,9.13022755791249,516.7751373969153,515.8471851854057,140928.25
2022,충청북도,1591.0035,30.24,1.0,231173.0,3737019.0,911.0,0.011313614332086636,8.925184639757235,527.1012917319164,374.0419594727052,84809.085
2023,강원특별자치도,1526.763,25.42,1.0,63456.0,3555080.0,1580.0,0.011789649081095102,16.178018461280498,483.52036301639487,432.89593574552873,62160.748
2023,경기도,13545.5425,60.5,1.0,1357108.0,4158552.0,5028.0,0.005758351871104461,4.591916492085865,456.79831575590276,3419.7061287650213,594735.127
2023,경상남도,3255.461,33.67,1.0,413205.0,3940613.0,2517.0,0.007065051616345581,7.157204463515305,475.4435700504476,839.5612542570428,139276.635
