연도,행정구역,연앙인구수(명),연앙인구수(천명),지역내총생산,재정자립도(%),통계방식변경,전체산업사업체수,전체산업종사자수,제조업종사자수,상용월평균급여(원),학교수,문화기반시설수,문화예술활동(건),19세,20~24세,25~29세,30~34세,35~39세
2017,울산광역시,1162347.0,1162.347,77390966.0,60.23,0.0,83872.0,521482.0,177427.0,4241425.0,6.0,41.0,796.0,11882.0,73591.0,71788.0,74938.0,94144.0
2017,인천광역시,2916646.0,2916.646,91217759.0,60.53,0.0,196705.0,1034344.0,250329.0,3231748.0,10.0,101.0,1590.0,33665.0,190964.0,192289.0,191132.0,235463.0
2017,전국,51230704.0,51230.704,,,,,,,,,,,624583.0,3355986.0,3164039.0,3216057.0,3904372.0
2017,전라남도,1887213.0,1887.213,78232007.0,20.01,0.0,153280.0,707972.0,114092.0,3549854.0,19.0,200.0,1138.0,17903.0,93977.0,76918.0,86282.0,111710.0
2017,전북특별자치도,1847460.5,1847.4605,52196096.0,22.28,0.0,148269.0,681638.0,117665.0,3195239.0,22.0,161.0,1583.0,24380.0,122021.0,92330.0,91748.0,116625.0
2017,제주특별자치도,644056.5,644.0565,21672308.0,33.68,0.0,60063.0,262747.0,11672.0,2649364.0,4.0,126.0,867.0,6597.0,37261.0,33070.0,35888.0,47747.0
2017,충청남도,2092354.0,2092.354,120242248.0,34.34,0.0,166247.0,897794.0,284336.0,3594988.0,25.0,160.0,1026.0,30469.0,138349.0,117722.0,128521.0,157072.0
2017,충청북도,1582443.5,1582.4435,69598516.0,30.05,0.0,126224.0,681870.0,198137.0,3304307.0,17.0,128.0,706.0,22768.0,112596.0,90676.0,92156.0,110424.0
2018,강원특별자치도,1533013.0,1533.013,49092745.0,23.51,0.0,143475.0,639277.0,59477.0,3207049.0,19.0,215.0,1800.0,19825.0,100643.0,82242.0,73190.0,95467.0
2018,경기도,12861428.0,12861.428,502061943.0,61.94,0.0,909032.0,5174364.0,1317605.0,3550712.0,80.0,537.0,4639.0,145808.0,801875.0,834485.0,807838.0,1063315.0
2018,경상남도,3356947.0,3356.947,114922033.0,37.71,0.0,281685.0,1388302.0,409762.0,3396737.0,24.0,207.0,1948.0,33236.0,188367.0,174382.0,180466.0,251613.0
2018,경상북도,2666723.0,2666.723,115378926.0,26.15,0.0,232030.0,1117782.0,320706.0,3520898.0,38.0,201.0,1259.0,31462.0,157817.0,134703.0,134411.0,175787.0
2018,광주광역시,1452471.5,1452.4715,42560850.0,43.76,0.0,119617.0,616265.0,86109.0,3177872.0,18.0,63.0,1524.0,21324.0,113013.0,94546.0,85190.0,114352.0
2018,대구광역시,2449528.5,2449.5285,60778388.0,47.57,0.0,210547.0,967206.0,176508.0,2962738.0,13.0,80.0,2222.0,29340.0,166310.0,153809.0,133980.0,175863.0
2018,대전광역시,1485382.0,1485.382,42410316.0,47.05,0.0,117557.0,618271.0,61879.0,3519385.0,20.0,55.0,1284.0,24502.0,121799.0,105447.0,92226.0,112989.0
2018,부산광역시,3418068.5,3418.0685,96494588.0,52.35,0.0,288860.0,1442115.0,216091.0,3221296.0,24.0,107.0,2812.0,40353.0,223664.0,213372.0,188522.0,247250.0
2018,서울특별시,9642857.0,9642.857,451385832.0,79.17,0.0,823385.0,5210936.0,266500.0,4065263.0,88.0,399.0,14093.0,106752.0,645569.0,755906.0,696267.0,772520.0
2018,세종특별자치시,296050.5,296.0505,12433506.0,57.09,0.0,15871.0,115585.0,20248.0,3535614.5,4.0,19.0,147.0,3910.0,18767.0,17656.0,22828.0,32963.0
2018,울산광역시,1154181.5,1154.1815,75961335.0,59.92,0.0,85662.0,527085.0,175990.0,4312634.0,6.0,43.0,811.0,11227.0,70594.0,72681.0,70161.0,93593.0
2018,인천광역시,2922973.5,2922.9735,93031135.0,60.34,0.0,202493.0,1070454.0,247361.0,3312814.0,10.0,104.0,1528.0,31715.0,183634.0,199068.0,182629.0,235177.0
2018,전국,51300879.5,51300.8795,,,,,,,,,,,597933.0,3290233.0,3259284.0,3080835.0,3915428.0
2018,전라남도,1877082.0,1877.082,79193518.0,19.81,0.0,156914.0,733925.0,117989.0,3696074.0,19.0,206.0,1274.0,17646.0,94154.0,79527.0,80139.0,110994.0
2018,전북특별자치도,1833762.0,1833.762,53437977.0,21.52,0.0,151011.0,694669.0,115285.0,3293434.0,21.0,158.0,1706.0,22998.0,120249.0,93335.0,86260.0,114323.0
2018,제주특별자치도,656673.5,656.6735,22040507.0,34.52,0.0,62871.0,276942.0,12081.0,2767497.0,4.0,135.0,868.0,6516.0,36904.0,35763.0,34726.0,49481.0
2018,충청남도,2107223.5,2107.2235,122192547.0,34.45,0.0,172242.0,928259.0,293530.0,3679557.0,24.0,166.0,1114.0,29415.0,136454.0,118697.0,123349.0,158758.0
2018,충청북도,1586514.5,1586.5145,74435481.0,29.61,0.0,129920.0,713339.0,208750.0,3426880.0,18.0,130.0,882.0,21904.0,110420.0,93665.0,88653.0,110983.0
2019,강원특별자치도,1528655.5,1528.6555,51349811.0,23.49,0.0,146815.0,670247.0,61976.0,3292836.0,19.0,232.0,881.0,19839.0,97721.0,82877.0,72207.0,92272.0
2019,경기도,13043732.0,13043.732,504950695.0,60.54,0.0,934349.0,5302740.0,1321095.0,3698529.0,80.0,567.0,3522.0,151192.0,786388.0,868553.0,810656.0,1044396.0
2019,경상남도,3348258.0,3348.258,118443865.0,33.43,0.0,286752.0,1427443.0,412713.0,3580582.0,24.0,221.0,1667.0,33355.0,180758.0,175434.0,173220.0,241872.0
2019,경상북도,2653915.5,2653.9155,113784086.0,24.94,0.0,236807.0,1150047.0,319306.0,3699749.0,38.0,211.0,1635.0,32505.0,151471.0,135033.0,129210.0,169249.0
2019,광주광역시,1448843.0,1448.843,44387597.0,40.79,0.0,123706.0,631876.0,85858.0,3278027.0,18.0,72.0,902.0,22251.0,111384.0,98608.0,82165.0,109729.0
2019,대구광역시,2431140.0,2431.14,62510363.0,45.88,0.0,210944.0,967934.0,174311.0,3093806.0,13.0,89.0,2062.0,30928.0,161473.0,155216.0,131908.0,167704.0
2019,대전광역시,1471769.5,1471.7695,44901333.0,43.85,0.0,119628.0,633418.0,63480.0,3601728.0,20.0,62.0,1001.0,24724.0,118844.0,107362.0,89567.0,107673.0
2019,부산광역시,3390159.5,3390.1595,99530641.0,50.01,0.0,290357.0,1465433.0,214649.0,3315194.0,24.0,124.0,1856.0,41078.0,214191.0,215018.0,183285.0,235580.0
2019,서울특별시,9578974.5,9578.9745,465940680.0,76.48,0.0,823624.0,5226997.0,265273.0,4226102.0,88.0,410.0,12533.0,110312.0,630814.0,777456.0,685989.0,745331.0
2019,세종특별자치시,326244.5,326.2445,13373529.0,62.12,0.0,18041.0,125410.0,20555.0,3637224.3,4.0,22.0,155.0,3573.0,19491.0,19449.0,24383.0,34602.0
2019,울산광역시,1145705.0,1145.705,75031057.0,53.67,0.0,87054.0,533187.0,177173.0,4353358.0,6.0,46.0,635.0,11492.0,67440.0,72073.0,67734.0,89874.0
2019,인천광역시,2927320.0,2927.32,95272174.0,57.65,0.0,206244.0,1092494.0,244352.0,3390920.0,10.0,115.0,1131.0,32563.0,178713.0,204276.0,179654.0,226943.0
2019,전국,51337423.5,51337.4235,,,,,,,,,,,614731.0,3203741.0,3343423.0,3029678.0,3791256.0
2019,전라남도,1863279.0,1863.279,79853688.0,19.07,0.0,161883.0,774294.0,122103.0,3731288.0,19.0,222.0,814.0,18139.0,92121.0,83292.0,76911.0,106345.0
2019,전북특별자치도,1816000.5,1816.0005,55083789.0,20.42,0.0,154082.0,720052.0,117056.0,3381091.0,21.0,174.0,1114.0,23578.0,115976.0,95285.0,82318.0,109269.0
2019,제주특별자치도,663488.5,663.4885,22267086.0,33.01,0.0,66098.0,286304.0,12373.0,2889103.0,4.0,138.0,647.0,6749.0,35730.0,37483.0,33707.0,48208.0
2019,충청남도,2110584.0,2110.584,120090285.0,33.04,0.0,176643.0,973944.0,299436.0,3778330.0,24.0,176.0,749.0,30159.0,133469.0,119097.0,119934.0,153827.0
2019,충청북도,1589354.5,1589.3545,76210571.0,28.74,0.0,133522.0,741452.0,212108.0,3482279.0,18.0,136.0,620.0,22294.0,107757.0,96911.0,86830.0,108382.0
2020,강원특별자치도,1528690.0,1528.69,51573015.0,25.75,1.0,193074.0,704983.0,63725.0,3237625.0,18.0,235.0,530.0,17077.0,95232.0,84339.0,72513.0,87830.0
2020,경기도,13220207.0,13220.207,523161883.0,58.62,1.0,1455644.0,5886850.0,1382830.0,3791519.0,80.0,569.0,1724.0,146879.0,808894.0,904805.0,824564.0,1007461.0
2020,경상남도,3332034.0,3332.034,114653976.0,34.3,1.0,387177.0,1494560.0,413775.0,3537600.0,24.0,228.0,702.0,31191.0,179537.0,176865.0,167446.0,223838.0
2020,경상북도,2635767.0,2635.767,112072885.0,27.13,1.0,321061.0,1225829.0,320531.0,3703867.0,38.0,220.0,654.0,27950.0,147069.0,134586.0,125324.0,157660.0
2020,광주광역시,1444467.0,1444.467,45603430.0,41.07,1.0,170085.0,667435.0,88160.0,3272846.0,18.0,74.0,603.0,18908.0,108360.0,101494.0,81265.0,102632.0
2020,대구광역시,2410205.5,2410.2055,62597844.0,45.45,1.0,283033.0,1010557.0,173382.0,3148054.0,13.0,92.0,1039.0,28341.0,159127.0,156979.0,131598.0,155831.0
