"ÃÑ·®ÁöÁ¡¸í","ÀÏÀÚ","¼ö¿Â(¡É)","¼ö¼ÒÀÌ¿Â³óµµ(ph)","Àü±âÀüµµµµ(¥ìS/§¯)","¿ëÁ¸»ê¼Ò(§·/L)","BOD(§·/L)","COD(§·/L)","ºÎÀ¯¹°Áú(§·/L)","ÃÑÁú¼Ò(T-N)(§·/L)","ÃÑÀÎ(T-P)(§·/L)","ÃÑÀ¯±âÅº¼Ò(TOC)(§·/L)","À¯·®(§©/s)"
"³«º»L","2025.03.25","11.9","8.6","389","13.3","2.5","5.6","6.4","3.079","0.049","3.9","69.900"
"³«º»M","2025.03.25","12.5","8.7","574","13.2","2.7","6.1","6.8","2.785","0.050","4.1","77.905"
"³«º»N","2025.03.25","14.4","8.9","1116","12.9","5.5","10.4","15.0","3.349","0.084","6.4","0.000"
"³«º»L","2025.04.07","14.1","8.2","395","11.1","1.6","5.5","3.6","3.338","0.027","3.2","142.120"
"³«º»M","2025.04.07","14.0","8.0","586","10.6","1.0","5.0","3.2","3.161","0.033","3.1","81.645"
"³«º»N","2025.04.07","15.8","7.9","694","9.1","1.8","7.6","12.0","3.429","0.083","4.0","0.000"
"³«º»L","2025.04.17","15.2","7.8","397","9.4","1.1","4.9","4.0","3.329","0.087","3.7","121.090"
"³«º»M","2025.04.17","15.5","8.0","660","10.1","1.2","5.2","2.8","3.494","0.080","3.9","160.842"
"³«º»N","2025.04.17","15.9","7.9","670","9.5","2.1","6.5","8.0","3.640","0.087","5.1","2.037"
"³«º»L","2025.04.21","18.3","7.8","386","9.0","0.6","4.8","1.6","3.193","0.039","3.0","99.800"
"³«º»M","2025.04.21","18.0","7.8","554","10.1","1.3","5.5","2.8","3.326","0.044","3.2","154.241"
"³«º»N","2025.04.21","21.2","7.9","564","8.7","1.3","6.3","4.8","3.377","0.051","3.8","0.000"
"³«º»L","2025.05.15","19.4","8.4","349","9.6","1.4","5.1","4.8","2.442","0.020","4.1","210.720"
"³«º»M","2025.05.15","19.5","8.1","435","8.9","1.4","5.3","2.8","2.481","0.028","3.6","217.617"
"³«º»N","2025.05.15","20.5","8.1","684","8.9","2.6","7.5","10.4","2.942","0.040","5.8","12.361"
"³«º»L","2025.05.22","21.9","8.4","273","9.4","1.8","4.8","4.8","2.254","0.022","3.0","255.850"
"³«º»M","2025.05.22","22.0","8.9","317","10.6","2.5","5.7","6.8","2.267","0.026","3.6","157.774"
"³«º»N","2025.05.22","23.6","8.8","501","10.1","4.8","8.2","10.8","2.621","0.036","5.1","0.000"
"³«º»L","2025.05.27","22.4","8.9","267","11.1","1.9","6.1","6.4","2.097","0.018","4.7","85.560"
"³«º»M","2025.05.27","22.4","8.8","317","10.1","1.7","5.1","4.4","2.153","0.026","4.0","121.413"
"³«º»N","2025.05.27","21.5","8.4","860","9.6","3.6","8.5","8.4","2.550","0.040","6.6","0.000"
"³«º»L","2025.06.10","25.4","8.7","261","10.4","2.6","7.1","5.2","1.908","0.024","4.1","169.040"
"³«º»M","2025.06.10","25.1","8.6","325","9.8","2.4","6.5","4.4","1.860","0.026","3.7","177.383"
"³«º»N","2025.06.10","25.1","8.7","629","10.7","4.0","10.7","11.2","1.795","0.045","6.4","6.042"
"³«º»L","2025.06.19","26.1","7.6","298","8.2","2.2","6.6","4.4","2.736","0.063","4.0","395.610"
"³«º»M","2025.06.19","26.0","8.3","309","9.4","2.7","6.9","7.2","2.331","0.053","3.9","487.762"
"³«º»N","2025.06.19","26.6","8.6","433","11.0","4.8","9.4","16.5","2.170","0.065","5.1","0.000"
"³«º»L","2025.06.24","23.6","7.0","201","7.2","1.9","6.9","10.0","2.907","0.119","5.4","742.810"
"³«º»M","2025.06.24","23.9","7.3","233","7.6","1.8","5.7","8.0","2.503","0.087","4.7","681.921"
"³«º»N","2025.06.24","24.4","7.7","522","8.0","3.9","9.1","15.2","2.090","0.065","7.7","0.000"
"³«º»L","2025.07.01","28.4","8.4","177","9.8","3.0","8.4","5.6","2.620","0.032","6.9","123.080"
"³«º»M","2025.07.01","28.4","8.4","190","9.5","2.5","8.7","10.8","2.549","0.028","6.8","149.292"
"³«º»N","2025.07.01","29.0","8.2","526","8.0","3.6","8.8","12.8","1.924","0.034","6.1","0.000"
"³«º»L","2025.07.08","32.0","8.7","186","8.2","1.4","6.7","4.4","2.212","0.035","5.4","150.760"
"³«º»M","2025.07.08","31.0","8.7","186","8.6","1.6","7.7","6.8","2.430","0.034","6.2","133.950"
"³«º»N","2025.07.08","31.1","8.9","935","8.8","8.5","18.9","33.3","0.848","0.052","12.9","0.000"
"³«º»L","2025.07.14","29.5","7.7","189","7.4","2.7","8.3","10.0","2.367","0.049","4.6","1303.600"
"³«º»M","2025.07.14","29.6","8.5","349","8.4","2.3","8.0","7.2","2.161","0.031","5.0","1400.718"
"³«º»N","2025.07.14","27.7","8.0","425","7.4","4.2","13.7","40.4","1.658","0.152","9.5","0.000"
"³«º»L","2025.08.12","26.0","6.9","118","7.1","0.8","4.9","6.4","1.980","0.118","2.8","766.160"
"³«º»M","2025.08.12","26.1","6.9","121","7.1","1.4","5.7","14.8","2.037","0.136","4.2","729.138"
"³«º»N","2025.08.12","26.0","8.1","793","7.9","5.3","15.0","28.4","1.701","0.095","12.1","0.000"
"³«º»L","2025.08.18","30.7","7.9","166","9.0","2.7","6.5","6.0","2.524","0.093","3.9","418.950"
"³«º»M","2025.08.18","29.3","8.8","160","9.0","3.4","9.4","11.6","2.320","0.105","3.7","343.375"
"³«º»N","2025.08.18","30.1","9.0","403","12.8","4.8","10.9","17.6","1.989","0.073","5.3","0.000"
"³«º»L","2025.08.26","31.4","9.0","184","9.7","3.2","10.9","13.2","1.572","0.035","6.5","170.000"
"³«º»M","2025.08.26","31.4","8.9","223","9.7","2.3","8.6","9.6","1.758","0.053","4.5","170.016"
"³«º»N","2025.08.26","31.7","8.6","548","8.6","2.9","10.0","20.0","1.110","0.088","4.4","11.493"
"³«º»L","2025.09.01","30.4","8.9","188","8.9","1.8","8.1","10.0","1.609","0.054","3.4","307.440"
"³«º»M","2025.09.01","29.8","8.8","243","7.8","1.8","8.6","10.4","1.605","0.079","3.7","188.553"
"³«º»N","2025.09.01","30.0","8.0","573","7.1","2.6","10.2","16.0","1.356","0.125","5.3","0.000"
"³«º»L","2025.09.09","28.6","8.6","219","7.6","1.7","8.6","9.6","1.579","0.059","6.1","340.400"
"³«º»M","2025.09.09","28.6","8.6","294","7.1","2.0","8.4","11.2","1.522","0.072","5.7","333.419"
"³«º»N","2025.09.09","27.5","8.1","904","7.9","3.9","14.7","22.4","2.109","0.155","10.7","0.000"
"³«º»L","2025.09.15","28.8","8.6","275","9.7","2.2","8.3","7.2","1.758","0.055","3.9","184.660"
"³«º»M","2025.09.15","29.0","7.6","261","9.0","1.6","8.0","5.6","1.517","0.053","4.2","189.902"
"³«º»N","2025.09.15","27.6","8.1","1245","8.8","4.2","14.1","20.8","1.524","0.085","5.9","0.000"
"³«º»L","2025.09.23","25.4","7.7","285","7.8","1.3","6.9","6.4","1.928","0.055","3.6","357.260"
"³«º»M","2025.09.23","25.9","7.9","222","8.1","1.6","7.1","11.6","1.415","0.057","3.5","253.612"
"³«º»N","2025.09.23","24.1","8.8","1240","11.4","4.1","12.6","28.0","0.968","0.060","6.5","0.000"
"³«º»L","2025.10.13","23.3","8.4","288","9.0","1.6","7.0","7.6","1.858","0.041","3.4","443.810"
"³«º»M","2025.10.13","24.4","8.5","287","8.6","1.6","6.9","4.8","1.509","0.047","3.4","291.121"
"³«º»N","2025.10.13","23.8","8.9","996","11.4","4.0","12.3","14.4","1.909","0.050","6.6","0.000"
"³«º»L","2025.10.21","19.8","7.6","184","8.8","1.1","6.7","8.0","3.173","0.099","5.4","447.970"
"³«º»M","2025.10.21","20.6","7.8","257","8.5","1.3","6.2","10.0","2.663","0.069","4.7","365.147"
"³«º»N","2025.10.21","19.7","7.5","940","8.2","2.5","9.3","10.4","2.489","0.047","7.4","0.000"
"³«º»L","2025.10.27","19.0","7.8","192","9.5","1.1","6.4","6.4","2.719","0.082","3.2","443.180"
"³«º»M","2025.10.27","19.3","8.2","272","9.7","1.4","7.0","8.4","2.661","0.080","3.9","208.869"
"³«º»N","2025.10.27","18.2","7.9","942","9.1","4.2","11.9","14.4","1.983","0.060","6.1","0.000"
