연도,행정구역,상용월평균급여(원),상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
2022,광주광역시,3599321.0,3284566.0,3063731.0,220835.0,314755.0
2022,대전광역시,3810834.0,3556267.0,3395644.0,160623.0,254567.0
2022,울산광역시,4532594.0,3725381.0,3289015.0,436366.0,807213.0
2022,세종특별자치시,3983956.0,3685371.0,3346826.0,338545.0,298585.0
2022,경기도,4027984.0,3751651.0,3500180.0,251471.0,276333.0
2022,강원특별자치도,3467718.0,3285138.0,3070433.0,214705.0,182580.0
2022,충청북도,3737019.0,3439403.0,3101977.0,337427.0,297616.0
2022,충청남도,4009848.0,3669868.0,3300635.0,369233.0,339980.0
2022,전북특별자치도,3526045.0,3192759.0,2912969.0,279791.0,333286.0
2022,전라남도,3866030.0,3445263.0,3141087.0,304175.0,420767.0
2022,경상북도,3954228.0,3563537.0,3189848.0,373690.0,390691.0
2022,경상남도,3894262.0,3560180.0,3215398.0,344781.0,334082.0
2022,제주특별자치도,3216325.0,3036703.0,2904723.0,131980.0,179622.0
2023,서울특별시,4784452.0,4263174.0,4070061.0,193114.0,521278.0
2023,부산광역시,3772199.0,3510555.0,3345321.0,165234.0,261644.0
2023,대구광역시,3588057.0,3335313.0,3093981.0,241332.0,252744.0
2023,인천광역시,3798573.0,3546307.0,3284522.0,261785.0,252266.0
2023,광주광역시,3731141.0,3373343.0,3156062.0,217281.0,357798.0
2023,대전광역시,3886943.0,3648549.0,3491658.0,156891.0,238394.0
2023,울산광역시,4716772.0,3896517.0,3391727.0,504790.0,820255.0
2023,세종특별자치시,4096606.0,3647865.0,3337418.0,310447.0,448741.0
2023,경기도,4158552.0,3880952.0,3644062.0,236890.0,277600.0
2023,강원특별자치도,3555080.0,3373947.0,3145826.0,228122.0,181133.0
2023,충청북도,3836045.0,3561921.0,3221767.0,340154.0,274124.0
2023,충청남도,4028341.0,3812337.0,3432243.0,380095.0,216004.0
2023,전북특별자치도,3595663.0,3271052.0,3004846.0,266205.0,324611.0
2023,전라남도,3956912.0,3566647.0,3269052.0,297595.0,390265.0
2023,경상북도,3959529.0,3651423.0,3303136.0,348288.0,308106.0
2023,경상남도,3940613.0,3642165.0,3279798.0,362367.0,298448.0
2023,제주특별자치도,3362104.0,3153209.0,3013388.0,139821.0,208895.0
2024,서울특별시,4935566.0,4430038.0,4223874.0,206164.0,505528.0
2024,부산광역시,3905955.0,3679216.0,3515496.0,163720.0,226739.0
2024,대구광역시,3740567.0,3447916.0,3192813.0,255103.0,292651.0
2024,인천광역시,3981929.0,3726835.0,3451685.0,275150.0,255094.0
2024,광주광역시,3760465.0,3508824.0,3283512.0,225311.0,251641.0
2024,대전광역시,3983909.0,3758386.0,3577011.0,181374.0,225523.0
2024,울산광역시,4837019.0,4073209.0,3525274.0,547935.0,763810.0
2024,세종특별자치시,4331934.0,3833294.0,3495015.0,338279.0,498640.0
2024,경기도,4401527.0,4044522.0,3786431.0,258091.0,357005.0
2024,강원특별자치도,3659521.0,3433402.0,3211660.0,221742.0,226119.0
2024,충청북도,3956021.0,3669971.0,3313895.0,356075.0,286050.0
2024,충청남도,4680157.0,3967362.0,3556964.0,410397.0,712795.0
2024,전북특별자치도,3736595.0,3386856.0,3119265.0,267591.0,349739.0
2024,전라남도,4034870.0,3658375.0,3370372.0,288004.0,376495.0
2024,경상북도,4175761.0,3793757.0,3424033.0,369724.0,382004.0
2024,경상남도,4113065.0,3784975.0,3414218.0,370757.0,328090.0
2024,제주특별자치도,3501134.0,3268276.0,3114814.0,153462.0,232858.0
2025,서울특별시,5135557.0,4551791.0,4343519.0,208272.0,583766.0
2025,부산광역시,4051622.0,3760214.0,3585298.0,174915.0,291408.0
2025,대구광역시,3896682.0,3554390.0,3302388.0,252003.0,342292.0
2025,인천광역시,4228879.0,3892250.0,3607131.0,285119.0,336629.0
2025,광주광역시,3803788.0,3529174.0,3289252.0,239922.0,274614.0
2025,대전광역시,4110608.0,3873396.0,3682561.0,190835.0,237212.0
2025,울산광역시,5044661.0,4179396.0,3646138.0,533258.0,865265.0
2025,세종특별자치시,4413048.0,3897193.0,3578312.0,318882.0,515855.0
2025,경기도,4567303.0,4199778.0,3921597.0,278181.0,367525.0
2025,강원특별자치도,3791133.0,3558553.0,3331825.0,226728.0,232580.0
2025,충청북도,4068182.0,3757109.0,3408935.0,348175.0,311073.0
2025,충청남도,4812230.0,4109260.0,3689602.0,419658.0,702970.0
2025,전북특별자치도,3815150.0,3475789.0,3202598.0,273191.0,339361.0
2025,전라남도,4250496.0,3791086.0,3484960.0,306126.0,459410.0
2025,경상북도,4352224.0,3920655.0,3531001.0,389654.0,431569.0
2025,경상남도,4260901.0,3906168.0,3518751.0,387417.0,354733.0
2025,제주특별자치도,3575691.0,3289535.0,3148603.0,140932.0,286156.0
