,연도,행정구역,상용월평균급여(원),상용월급여액(원),상용정액급여(원),상용초과급여(원),상용특별급여(원)
8,2020,세종특별자치시,3755869,3423078,3096090,326989,332791
9,2020,경기도,3791519,3467004,3235868,231136,324515
10,2020,강원특별자치도,3237625,3053154,2867460,185694,184471
11,2020,충청북도,3512114,3203545,2891741,311805,308569
12,2020,충청남도,3747802,3397234,3063857,333377,350568
13,2020,전북특별자치도,3326867,3028036,2764224,263812,298831
14,2020,전라남도,3660743,3252923,2989038,263885,407820
15,2020,경상북도,3703867,3318498,2983493,335005,385369
16,2020,경상남도,3537600,3260329,2961696,298633,277271
17,2020,제주특별자치도,2890236,2726806,2623615,103191,163430
18,2021,전국,3967609,3581564,3335744,245819,386045
19,2021,서울특별시,4451538,3904436,3733628,170808,547102
20,2021,부산광역시,3563487,3288414,3114169,174246,275073
21,2021,대구광역시,3313281,3094138,2880484,213654,219143
22,2021,인천광역시,3611547,3309353,3068634,240720,302194
23,2021,광주광역시,3458315,3141221,2934066,207155,317094
24,2021,대전광역시,3641586,3401031,3257260,143771,240555
25,2021,울산광역시,4330712,3515389,3113828,401561,815323
26,2021,세종특별자치시,3845965,3530820,3211675,319145,315145
27,2021,경기도,3938130,3611344,3369741,241603,326786
28,2021,강원특별자치도,3353549,3166772,2968551,198221,186777
29,2021,충청북도,3565888,3313149,2999919,313230,252739
30,2021,충청남도,4051811,3564920,3216396,348524,486891
31,2021,전북특별자치도,3372498,3082279,2810742,271537,290219
32,2021,전라남도,3803956,3352080,3069611,282469,451876
33,2021,경상북도,3882801,3452111,3103287,348823,430690
34,2021,경상남도,3744367,3399502,3094755,304748,344865
35,2021,제주특별자치도,3073063,2906566,2790086,116480,166497
36,2022,전국,4069599,3717328,3458183,259145,352271
37,2022,서울특별시,4555258,4082853,3902156,180697,472405
38,2022,부산광역시,3638757,3404468,3220150,184319,234289
39,2022,대구광역시,3426293,3202101,2975417,226684,224192
40,2022,인천광역시,3698625,3418862,3166608,252254,279763
41,2022,광주광역시,3599321,3284566,3063731,220835,314755
42,2022,대전광역시,3810834,3556267,3395644,160623,254567
43,2022,울산광역시,4532594,3725381,3289015,436366,807213
44,2022,세종특별자치시,3983956,3685371,3346826,338545,298585
45,2022,경기도,4027984,3751651,3500180,251471,276333
46,2022,강원특별자치도,3467718,3285138,3070433,214705,182580
47,2022,충청북도,3737019,3439403,3101977,337427,297616
48,2022,충청남도,4009848,3669868,3300635,369233,339980
49,2022,전북특별자치도,3526045,3192759,2912969,279791,333286
50,2022,전라남도,3866030,3445263,3141087,304175,420767
51,2022,경상북도,3954228,3563537,3189848,373690,390691
52,2022,경상남도,3894262,3560180,3215398,344781,334082
53,2022,제주특별자치도,3216325,3036703,2904723,131980,179622
0,2023,전국,4210988,3843191,3581294,261897,367797
1,2023,서울특별시,4784452,4263174,4070061,193114,521278
2,2023,부산광역시,3772199,3510555,3345321,165234,261644
3,2023,대구광역시,3588057,3335313,3093981,241332,252744
4,2023,인천광역시,3798573,3546307,3284522,261785,252266
5,2023,광주광역시,3731141,3373343,3156062,217281,357798
6,2023,대전광역시,3886943,3648549,3491658,156891,238394
7,2023,울산광역시,4716772,3896517,3391727,504790,820255
8,2023,세종특별자치시,4096606,3647865,3337418,310447,448741
9,2023,경기도,4158552,3880952,3644062,236890,277600
10,2023,강원특별자치도,3555080,3373947,3145826,228122,181133
11,2023,충청북도,3836045,3561921,3221767,340154,274124
12,2023,충청남도,4028341,3812337,3432243,380095,216004
13,2023,전북특별자치도,3595663,3271052,3004846,266205,324611
14,2023,전라남도,3956912,3566647,3269052,297595,390265
15,2023,경상북도,3959529,3651423,3303136,348288,308106
16,2023,경상남도,3940613,3642165,3279798,362367,298448
17,2023,제주특별자치도,3362104,3153209,3013388,139821,208895
18,2024,전국,4395789,3988724,3702953,285772,407065
19,2024,서울특별시,4935566,4430038,4223874,206164,505528
20,2024,부산광역시,3905955,3679216,3515496,163720,226739
21,2024,대구광역시,3740567,3447916,3192813,255103,292651
22,2024,인천광역시,3981929,3726835,3451685,275150,255094
23,2024,광주광역시,3760465,3508824,3283512,225311,251641
24,2024,대전광역시,3983909,3758386,3577011,181374,225523
25,2024,울산광역시,4837019,4073209,3525274,547935,763810
26,2024,세종특별자치시,4331934,3833294,3495015,338279,498640
27,2024,경기도,4401527,4044522,3786431,258091,357005
28,2024,강원특별자치도,3659521,3433402,3211660,221742,226119
29,2024,충청북도,3956021,3669971,3313895,356075,286050
30,2024,충청남도,4680157,3967362,3556964,410397,712795
31,2024,전북특별자치도,3736595,3386856,3119265,267591,349739
32,2024,전라남도,4034870,3658375,3370372,288004,376495
33,2024,경상북도,4175761,3793757,3424033,369724,382004
34,2024,경상남도,4113065,3784975,3414218,370757,328090
35,2024,제주특별자치도,3501134,3268276,3114814,153462,232858
36,2025,전국,4520353,4094615,3801279,293336,425738
37,2025,서울특별시,5135557,4551791,4343519,208272,583766
38,2025,부산광역시,4051622,3760214,3585298,174915,291408
39,2025,대구광역시,3896682,3554390,3302388,252003,342292
40,2025,인천광역시,4228879,3892250,3607131,285119,336629
41,2025,광주광역시,3803788,3529174,3289252,239922,274614
42,2025,대전광역시,4110608,3873396,3682561,190835,237212
43,2025,울산광역시,5044661,4179396,3646138,533258,865265
44,2025,세종특별자치시,4413048,3897193,3578312,318882,515855
45,2025,경기도,4567303,4199778,3921597,278181,367525
46,2025,강원특별자치도,3791133,3558553,3331825,226728,232580
47,2025,충청북도,4068182,3757109,3408935,348175,311073
48,2025,충청남도,4812230,4109260,3689602,419658,702970
49,2025,전북특별자치도,3815150,3475789,3202598,273191,339361
50,2025,전라남도,4250496,3791086,3484960,306126,459410
51,2025,경상북도,4352224,3920655,3531001,389654,431569
52,2025,경상남도,4260901,3906168,3518751,387417,354733
53,2025,제주특별자치도,3575691,3289535,3148603,140932,286156
